hs10,commodity_ko,commodity_code,is_core5
2530909099,리튬,LI,Y
2825201000,리튬,LI,Y
2825202000,리튬,LI,Y
2836910000,리튬,LI,Y
2841909010,리튬,LI,Y
2841909020,리튬,LI,Y
2841909030,리튬,LI,Y
2841909040,리튬,LI,Y
2841909090,리튬,LI,Y
8506500000,리튬,LI,Y
8507602000,리튬,LI,Y
8507603000,리튬,LI,Y
8507609000,리튬,LI,Y
2604000000,니켈,NI,Y
2827350000,니켈,NI,Y
3815110000,니켈,NI,Y
2825401000,니켈,NI,Y
2825402000,니켈,NI,Y
7202600000,니켈,NI,Y
2833240000,니켈,NI,Y
2825903010,니켈,NI,Y
7504001000,니켈,NI,Y
7504002000,니켈,NI,Y
7507110000,니켈,NI,Y
7507120000,니켈,NI,Y
7507200000,니켈,NI,Y
7502101000,니켈,NI,Y
7502109000,니켈,NI,Y
7502200000,니켈,NI,Y
7501100000,니켈,NI,Y
7501201010,니켈,NI,Y
7501201090,니켈,NI,Y
7501209010,니켈,NI,Y
7501209090,니켈,NI,Y
7505110000,니켈,NI,Y
7505120000,니켈,NI,Y
7505210000,니켈,NI,Y
7505220000,니켈,NI,Y
7503000000,니켈,NI,Y
7506101000,니켈,NI,Y
7506102000,니켈,NI,Y
7506201000,니켈,NI,Y
7506202000,니켈,NI,Y
7508100000,니켈,NI,Y
7508901000,니켈,NI,Y
7508902010,니켈,NI,Y
7508902020,니켈,NI,Y
7508909000,니켈,NI,Y
8507300000,니켈,NI,Y
2605000000,코발트,CO,Y
2822001010,코발트,CO,Y
2822001099,코발트,CO,Y
2822001091,코발트,CO,Y
2822002010,코발트,CO,Y
2822002090,코발트,CO,Y
2915293000,코발트,CO,Y
2833292090,코발트,CO,Y
2833292010,코발트,CO,Y
8105203000,코발트,CO,Y
8105201000,코발트,CO,Y
8105202000,코발트,CO,Y
8105900000,코발트,CO,Y
8105300000,코발트,CO,Y
3206495000,코발트,CO,Y
2530902000,망간,,
2602000000,망간,,
2820100000,망간,,
2820900000,망간,,
2820901000,망간,,
2820902000,망간,,
2820909000,망간,,
2825902020,망간,,
2833293010,망간,,
2836991031,망간,,
2833299000,망간,,
2836991039,망간,,
2841691000,망간,,
2841692000,망간,,
2841693000,망간,,
7202110000,망간,,
7202190000,망간,,
7202300000,망간,,
7228200000,망간,,
7227200000,망간,,
7229200000,망간,,
8111000000,망간,,
2504101000,흑연,,
2504102000,흑연,,
2504109000,흑연,,
2504900000,흑연,,
3801101000,흑연,,
3801109000,흑연,,
3801200000,흑연,,
3801300000,흑연,,
3801900000,흑연,,
6903109000,흑연,,
2805301000,희토류,REE,Y
2805302000,희토류,REE,Y
2805303000,희토류,REE,Y
2805304000,희토류,REE,Y
2805305000,희토류,REE,Y
2805309000,희토류,REE,Y
2846100000,희토류,REE_OTHER,N
2846901000,희토류,REE,Y
2846909000,희토류,REE,Y
3606900000,희토류,REE_OTHER,N
3606902010,희토류,REE_OTHER,N
3606902090,희토류,REE_OTHER,N
3606909010,희토류,REE_OTHER,N
3606909090,희토류,REE_OTHER,N
8505119000,희토류,REE,Y
2615901000,니오븀,,
8112996000,니오븀,,
7202930000,니오븀,,
8112926000,니오븀,,
2603000000,동,CU,Y
2620300000,동,CU,Y
7402001000,동,CU,Y
7402002000,동,CU,Y
7403110000,동,CU,Y
7403120000,동,CU,Y
7403130000,동,CU,Y
7403191000,동,CU,Y
7403192000,동,CU,Y
7403199000,동,CU,Y
7403210000,동,CU,Y
7403220000,동,CU,Y
7403291010,동,CU,Y
7403291020,동,CU,Y
7403299000,동,CU,Y
7401001000,동,CU,Y
7401002000,동,CU,Y
7404000000,동,CU,Y
7405000000,동,CU,Y
7406100000,동,CU,Y
7406201000,동,CU,Y
7406202000,동,CU,Y
7407100000,동,CU,Y
7407210000,동,CU,Y
7407291000,동,CU,Y
7407292010,동,CU,Y
7407292020,동,CU,Y
7407299000,동,CU,Y
7408110000,동,CU,Y
7408190000,동,CU,Y
7408210000,동,CU,Y
7408221000,동,CU,Y
7408222000,동,CU,Y
7408291000,동,CU,Y
7408299000,동,CU,Y
7409111000,동,CU,Y
7409119000,동,CU,Y
7409191000,동,CU,Y
7409199000,동,CU,Y
7409211000,동,CU,Y
7409219000,동,CU,Y
7409291000,동,CU,Y
7409299000,동,CU,Y
7409311000,동,CU,Y
7409319000,동,CU,Y
7409391000,동,CU,Y
