series,TIME,DATA_VALUE
KR_industrial_production,201001,79.3
KR_industrial_production,201002,77.6
KR_industrial_production,201003,87.4
KR_industrial_production,201004,84.1
KR_industrial_production,201005,84.9
KR_industrial_production,201006,87.5
KR_industrial_production,201007,84.7
KR_industrial_production,201008,81.6
KR_industrial_production,201009,83.7
KR_industrial_production,201010,85.4
KR_industrial_production,201011,86.1
KR_industrial_production,201012,95.0
KR_industrial_production,201101,85.9
KR_industrial_production,201102,77.3
KR_industrial_production,201103,90.8
KR_industrial_production,201104,86.7
KR_industrial_production,201105,87.3
KR_industrial_production,201106,90.2
KR_industrial_production,201107,86.8
KR_industrial_production,201108,84.8
KR_industrial_production,201109,87.8
KR_industrial_production,201110,88.4
KR_industrial_production,201111,88.4
KR_industrial_production,201112,96.6
KR_industrial_production,201201,84.7
KR_industrial_production,201202,84.6
KR_industrial_production,201203,91.5
KR_industrial_production,201204,86.6
KR_industrial_production,201205,89.4
KR_industrial_production,201206,90.3
KR_industrial_production,201207,88.2
KR_industrial_production,201208,84.7
KR_industrial_production,201209,89.0
KR_industrial_production,201210,88.0
KR_industrial_production,201211,90.2
KR_industrial_production,201212,96.6
KR_industrial_production,201301,88.0
KR_industrial_production,201302,83.5
KR_industrial_production,201303,91.1
KR_industrial_production,201304,90.1
KR_industrial_production,201305,90.9
KR_industrial_production,201306,91.0
KR_industrial_production,201307,89.7
KR_industrial_production,201308,87.4
KR_industrial_production,201309,88.1
KR_industrial_production,201310,91.9
KR_industrial_production,201311,91.6
KR_industrial_production,201312,98.7
KR_industrial_production,201401,89.0
KR_industrial_production,201402,85.0
KR_industrial_production,201403,93.7
KR_industrial_production,201404,91.6
KR_industrial_production,201405,90.7
KR_industrial_production,201406,92.7
KR_industrial_production,201407,92.5
KR_industrial_production,201408,88.0
KR_industrial_production,201409,89.6
KR_industrial_production,201410,92.2
KR_industrial_production,201411,91.2
KR_industrial_production,201412,101.0
KR_industrial_production,201501,89.2
KR_industrial_production,201502,84.8
KR_industrial_production,201503,94.7
KR_industrial_production,201504,92.9
KR_industrial_production,201505,91.3
KR_industrial_production,201506,95.1
KR_industrial_production,201507,92.1
KR_industrial_production,201508,90.0
KR_industrial_production,201509,93.6
KR_industrial_production,201510,95.5
KR_industrial_production,201511,94.7
KR_industrial_production,201512,104.1
KR_industrial_production,201601,90.5
KR_industrial_production,201602,87.1
KR_industrial_production,201603,97.8
KR_industrial_production,201604,94.0
KR_industrial_production,201605,95.6
KR_industrial_production,201606,99.5
KR_industrial_production,201607,94.9
KR_industrial_production,201608,94.0
KR_industrial_production,201609,94.8
KR_industrial_production,201610,97.1
KR_industrial_production,201611,99.0
KR_industrial_production,201612,108.0
KR_industrial_production,201701,92.7
KR_industrial_production,201702,91.8
KR_industrial_production,201703,102.0
KR_industrial_production,201704,97.1
KR_industrial_production,201705,98.1
KR_industrial_production,201706,101.3
KR_industrial_production,201707,97.3
KR_industrial_production,201708,96.3
KR_industrial_production,201709,102.2
KR_industrial_production,201710,94.9
KR_industrial_production,201711,101.0
KR_industrial_production,201712,107.7
KR_industrial_production,201801,97.2
KR_industrial_production,201802,91.3
KR_industrial_production,201803,101.9
KR_industrial_production,201804,99.7
KR_industrial_production,201805,100.2
KR_industrial_production,201806,102.6
KR_industrial_production,201807,100.0
KR_industrial_production,201808,98.6
KR_industrial_production,201809,97.8
KR_industrial_production,201810,102.2
KR_industrial_production,201811,101.3
KR_industrial_production,201812,108.2
KR_industrial_production,201901,98.3
