TIME,DATA_VALUE
201001,79.3
201002,77.6
201003,87.4
201004,84.1
201005,84.9
201006,87.5
201007,84.7
201008,81.6
201009,83.7
201010,85.4
201011,86.1
201012,95
201101,85.9
201102,77.3
201103,90.8
201104,86.7
201105,87.3
201106,90.2
201107,86.8
201108,84.8
201109,87.8
201110,88.4
201111,88.4
201112,96.6
201201,84.7
201202,84.6
201203,91.5
201204,86.6
201205,89.4
201206,90.3
201207,88.2
201208,84.7
201209,89
201210,88
201211,90.2
201212,96.6
201301,88
201302,83.5
201303,91.1
201304,90.1
201305,90.9
201306,91
201307,89.7
201308,87.4
201309,88.1
201310,91.9
201311,91.6
201312,98.7
201401,89
201402,85
201403,93.7
201404,91.6
201405,90.7
201406,92.7
201407,92.5
201408,88
201409,89.6
201410,92.2
201411,91.2
201412,101
201501,89.2
201502,84.8
201503,94.7
201504,92.9
201505,91.3
201506,95.1
201507,92.1
201508,90
201509,93.6
201510,95.5
201511,94.7
201512,104.1
201601,90.5
201602,87.1
201603,97.8
201604,94
201605,95.6
201606,99.5
201607,94.9
201608,94
201609,94.8
201610,97.1
201611,99
201612,108
201701,92.7
201702,91.8
201703,102
201704,97.1
201705,98.1
201706,101.3
201707,97.3
201708,96.3
201709,102.2
201710,94.9
201711,101
201712,107.7
