TIME,DATA_VALUE
201801,97.2
201802,91.3
201803,101.9
201804,99.7
201805,100.2
201806,102.6
201807,100
201808,98.6
201809,97.8
201810,102.2
201811,101.3
201812,108.2
201901,98.3
201902,89.6
201903,101.4
201904,100.8
201905,102.1
201906,102
201907,101.5
201908,99.2
201909,99
201910,102.9
201911,103.4
201912,112.9
202001,98.2
202002,94.3
202003,102
202004,95.3
202005,95.8
202006,102.2
202007,99.1
202008,95.3
202009,101.8
202010,99.5
202011,102.7
202012,113.8
202101,98.1
202102,94.5
202103,108.3
202104,103.7
202105,103.2
202106,109.7
202107,104.2
202108,101.5
202109,104.6
202110,105.3
202111,109.2
202112,123.5
202201,104.8
202202,99.3
202203,113.1
202204,109.9
202205,111.4
202206,114.6
202207,109.6
202208,107.8
202209,109.2
202210,109.4
202211,111.9
202212,125.8
202301,103.3
202302,103.2
202303,115.6
202304,108.7
202305,111.1
202306,116
202307,109.1
202308,109.8
202309,112.7
202310,111.3
202311,114.9
202312,126.8
202401,110.5
202402,105.4
202403,115.8
202404,113.1
202405,113.7
202406,116.1
202407,111.3
202408,111
202409,110.9
202410,114.2
202411,114.2
202412,128.2
202501,107.2
202502,107.4
202503,118.1
202504,114.4
202505,113.5
202506,118.3
202507,114.4
202508,111.2
202509,119.8
202510,110.2
202511,115
202512,130.9
