commodity,sheet,line_item,n,y0,y1
CU,Blister_RC,- China,4,2023,2026
CU,ChinaAdjusted,Blister Exports,57,1984,2040
CU,ChinaAdjusted,Blister Imports,57,1984,2040
CU,ChinaAdjusted,Concentrate Production,57,1984,2040
CU,ChinaAdjusted,Exports,57,1984,2040
CU,ChinaAdjusted,Implied Stock Change,57,1984,2040
CU,ChinaAdjusted,Imports,57,1984,2040
CU,ChinaAdjusted,Less Smelting Losses,57,1984,2040
CU,ChinaAdjusted,Note: Production forecasts based on the ability of the global market to supply China with raw materials,1,2019,2019
CU,ChinaAdjusted,Primary Smelter Feed,57,1984,2040
CU,ChinaAdjusted,Refined Consumption,57,1984,2040
CU,ChinaAdjusted,Refined Production,57,1984,2040
CU,ChinaAdjusted,Resmelted blister,57,1984,2040
CU,ChinaAdjusted,Scrap,57,1984,2040
CU,ChinaAdjusted,Smelter Production,57,1984,2040
CU,ChinaAdjusted,Source Wood Mackenzie,1,2019,2019
CU,ChinaAdjusted,Stock Change,57,1984,2040
CU,ChinaAdjusted,SxEw,57,1984,2040
CU,ChinaBalance,Blister Exports,57,1984,2040
CU,ChinaBalance,Blister Imports,57,1984,2040
CU,ChinaBalance,Bonded Stock change,19,2001,2019
CU,ChinaBalance,Bonded Stocks,23,2000,2022
CU,ChinaBalance,Check,23,1996,2018
CU,ChinaBalance,Chinese Conc production growth,14,1987,2000
CU,ChinaBalance,Conc imports growth,14,1987,2000
CU,ChinaBalance,Concentrate Production,57,1984,2040
CU,ChinaBalance,Copper Price (2022$),36,2005,2040
CU,ChinaBalance,Days - Stocks to consumption,43,1998,2040
CU,ChinaBalance,Exports,57,1984,2040
CU,ChinaBalance,Imports,57,1984,2040
CU,ChinaBalance,Less Smelting Losses,57,1984,2040
CU,ChinaBalance,Link - Total stocks -  (linked to ChinaStockChange_qtly),57,1984,2040
CU,ChinaBalance,Mine Production,57,1984,2040
CU,ChinaBalance,Net cathode imports,57,1984,2040
CU,ChinaBalance,Net conc imports,57,1984,2040
CU,ChinaBalance,Other Stock Changes,23,1996,2018
CU,ChinaBalance,Other Stock change,18,2002,2019
CU,ChinaBalance,Other Stocks,21,2002,2022
CU,ChinaBalance,Primary Smelter Feed,57,1984,2040
CU,ChinaBalance,Refined Consumption,57,1984,2040
CU,ChinaBalance,Refined Production,57,1984,2040
CU,ChinaBalance,Refined consumption % change,43,1998,2040
CU,ChinaBalance,Refined consumption growth,16,1985,2000
CU,ChinaBalance,Resmelted Blister,57,1984,2040
CU,ChinaBalance,SHFE Stock Change,22,1998,2019
CU,ChinaBalance,SHFE Stocks,26,1997,2022
CU,ChinaBalance,SRB (days of consumption),41,2000,2040
CU,ChinaBalance,SRB Stock change (net) entered,56,1985,2040
CU,ChinaBalance,SRB Stocks,44,1997,2040
